reviewer_name,review_title,review
VINEET MISHRA,Except display quality for price Everything is brilliant,"I have stopped using my laptop. This has become my primary device. I do competitive programming and watch Ott for hours. It Looks very sexy, Battery is good but could have been better. MY ONLY COMPLAINT IS, that I have iphone 13 which has oled display, which lacks LTPO but I feel has better display. I have used samsung smartphone in past and have seen Samsung S series tablet, both of which had Super Amoled, they lacked LTPO but have had far superior display with constant 120 Hz. This is just a simple LED panel, which kind of makes me very SAD because of the amount I paid. Together with magic keyboard, it cost me more around 1.09 Lakh. With that being said, it has LED display, feels like I only paid for apple logo. So, I would advise people, if you can find go for m1 version pro or Air(which is better for 90% people out there), there is literally no difference in m1 and m2 in day to day usage. AND My advise to Apple, if they ever read this, if u are so much into charging for every single feature you offer, better, take away all the faltu gimmick like LTPO or even 120 Hz from display & please offer genuine features like OLED or at least mini-LED(but mini-LED will drain more power) with better battery in ipad pro 11”, i don’t want to buy 12.9 for mni-Led, because people buy tablets for portablity, 11’’ inch is the right sweet spot size of pro tablets, just load it with every best feature for a tablet you got in your inventory, or soon you will loose the brand value you have earned over the years among your customers."
Anurag c.,Good product battery life is not good,
,My charger is not working in before 1 month,You should change the charger
Siddharth,IPAD Pro 11,Just wow!!
,Gud,Awesome
Amazon Customer,Great speed,"Best tablet in the market.
best brand in the market.
Perfect for students"
Amazon Customer,Damn cool,Packaging is not good
Hemant Allawadhi,Not happy with the packing.,"There is a small damage on the product pack. And a tampering attempt on the seal too. But since the item is urgently required, dont have time to get it replaced.
Hope the item is genuine and there wont be any damage to the product."
Deepak,Genuine Apple Product sent by Amazon India.,"Genuine Apple Product sent by Amazon India.
Must Buy

Please Check Out Once
ThankstoAmazon"
,Good product,I like this product very much
SAHIL J,BEAST FOR DAILY UASGE,"JUST GOT IT TODAY AND PRETTY HAPPY WITH THE PURCHASE . THOUGHT KI IT WILL BE SUCH SMALL SCREEN AS PREVIOUSLY USING 12.9 , BUT ITS EXTREMELY HANDY AND GOOD FOR STUDENT LIKE ME WHO TAKES BASIC NOTES AND JUST VIDEO SURFING BUT STILL IF YOU HAVE THAT EXTRA 30K ILL SUGGEST YOU TO BUY 12.9"
Umakanta,The product is genuine and good.,The product is genuine and was in good condition.But it's box was a bit damaged.Better packaging is necessary for such costly items.
,iPad is great. But have you tried not using it?,"Well! I bought the iPad and woah 🤯 I was amazed at both the features of the device and my capability to waste unnecessary money on fancy devices.
The device has added a lot of value in my life , now I can sit in Starbucks and pretend to be a big shot. In approx one and a half lakh I have won the opportunity to look like a rich man and have lost the window to purchase Apple stocks that maybe can make me a little bit rich. But who cares as far as I Look rich, I am rich."
Hitesh J.,Great performance,"I bought it on June 2023 and its just great and the performance is amazing.
I mostly used this for my website updates, thats daily and for making short videos"
Jack Jared,Always like,Always like
Abby,Not worth 90k but pretty good,"It's a good ipad but just underwhelming when you look at other products sold by Apple that are much cheaper like ipad air or something , instead of going all in and buying a 1 lakh tablet you could just buy a 50-60k ipad air and use the remaining money for the new iPhone. Think smart , not hard"
Daksh Bhardwaj,Best tablet,I love this as my daily laptop. A good alternative to not just a laptop but also amazon kindle oasis. i mean if you can buy an ipad for as low as 40000 then whats point of spending 28000 on a device which just read books
,Pen sath me nhi diya or na hi keyboard,
Ashish Katariya,Worth the money,Very good fast with M2 chip stable and very useful device
Rani,Nice,Good product.
Biswajyoti Deb,Happy with it,Good product as expected and light weight to carry
Placeholder,"Buy the 12.1 Inch M2 iPad XDR PRO Display only, not it's small Brother.","That's why it's said since Centuries "" Speech is Silvern;! Silence is Golden"". I had no business in the first place to any Feedback whatsoever. Bitter Truth always hurts. Even you know this, so do I and so does the whole world. My Review contained Inappropriate Comments. I had primarily asked for a Refund so I could upgrade to the 12.1 Inch M2 iPad XDR PRO with XDR DISPLAY. At around 4 am that day, One of your very own Customer Care Executives who are Multi-faced and Multi-faceted, told me to wait 3 days for a decision on the Refund. I later discovered he had deliberately fooled me into raising my hopes for the Refund and then dashing them to the ground--tantalizing me, in other words. Perhaps, he didn't have the Courage to be Frank Enough and dismiss me abruptly as your other Customer Care Executive Smita did. Your Agreement with Apple should have been highlighted in the first place. But it was deliberately and carefully hidden. It surfaced only after Smita told me straight that your Tie-up with Apple rules out a Refund. Fine! No Problem! "" False, Misleading, Inauthentic Comments or Profane and Misleading "" is your Style of Business and Functioning.Not mine. I had been denied a Refund and immediately asked for Feedback.It was like rubbing salt in my wounds. I May not be as Qualified and Capable as you are to do Business, but I can understand that if I had even the slightest hint that I wouldn't get a Refund at all, I would never have wasted my Time and Energy in giving you a Feedback or writing a Review. I don't know how you would have reacted if Customer Care Executives from the same Company tantalized you and then dismissed you like a Beggar under the pretext of Privacy Policy and some Unknown and Hidden Agreement of yours with Big Boss Apple!"
Aniket Roy,Just bought the ipad pro 11inch model base variant,"Got a new product in perfect condition. Although the box was a little scratched and didn’t had a plastic wrap made me a little suspicious about the product i received but it was fine on inspection no problem with the device.
Really happy with the product love it 👍.
Thanks amazon and appario."
,Very good,Nice
Vikas jaiswal,Great,Good for study and office work
Dhruv Goyal,Fantastic product,Amazing product worth each penny
Amritvindra,Good,Good
Amit kumar pati,Best performance,What a performance and battery life
Debrup Dey,बहुत ही बढिया टेबलेट यह मेरा पहला एप्पल ङ्क्षसह है,मैने आज आन लाइन क्लास लगाई
Lakshay,Best in class,Absolutely amazing and power packed
Akhilesh Tomar,iPad,Apple h yaar
Zoheb,Love it!,"Very safe packaging and fast delivery.
And the product is of course great. I love my iPad."
,A+,A+
Vinayak Kishore,Just Amazing,"I prefer this ipad for gaming and trust me guys this ipad is super smooth,the gaming is so good that i cant even describe it in words and when we talk about cons there is not a single con."
Avinash sharma,Fanstastic ❤️❤️❤️,Not a problem at all. Once you buy it always happy
Amritanshu Lochan,nice,nice
,Amazing,Worth every penny
sateesh chaurasia,Apple ipad pro,Excellent performance
Marshal,Beast,
Raees Shaikh,Nothing cn match this quality,No match
