reviewer_name,review_title,review
Sunil,Elegance of iPhone,It’s really awesome when I switched from Android to iPhone then I realised why iPhone creates cult among its user !
Placeholder,Satisfied with the product received but has some negative opinion,I am completely happy with the product however the things which was unsatisfied is that it took more than a week to deliver even after paying in full before delivery and also the bill which was provided after opening was halfy printed as it appears to be half cutted may be printing error the main parts of billing information was not present I hope the next order will avoid any kind of error in future …
Koutuhal p.,Battery,"Battery backup not good
Finger print sensor needed"
Shantanu K,Perfect,"After using XR , this one is best"
Gaurav Arora,happy with the phone but unhappy with Amazon and vendor,unhappy because no cost emi still charging gst + interest which was useless decision to buy the phone from the Amazon.
PROSENJIT MONDAL,Good camera,
,Value for money,Good
Placeholder,Good,Good
Good quality,Go for it,Camera is wow
,Good,Packing was good . It’s an iPhone so works well .
Rahul yadav,Great buy,"I don’t recommend to buy , iPhone because prices keeps on dropping buy this in sale only to get maximum benefit, I bought it for 70k now it is 53 k so loss…🥹"
Pritam,Best phone,Camera quality is awesome
Amazon Customer,Heating Issue Sometimes,Faced the Heating issue many times . Rest is Good . Checked on Apple site Product is Original .
Shailesh Nanavati.,"Everything is good ,",No problem in this mobile 14.Also Quick service from Amazon thanks from Shailesh Nanavati
Essdee,Delivered on time,Received in perfect condition
Kamleshsinh Thakor,Great product,Great product
Elaine,Obviously worth it.,Switching from an android to an iPhone was one of the best decisions.
Ajay Mishra,👍,👍
shibanimukherjee,Loved with the colour,"After using 4months the review
Previously I have heard lot of rumours about the iPhone not to buy on sale but when I bought this it was completely game changer for me. Specially the camera quality and Siri does half of my work. I am happy with the purchase. Thank you Amazon for serving the best."
Pratim Prajapati elite,superb,superb phone with good display and battery life. nice body
ashutosh pandey,Fantastic!.,The best thing about this phone is its long battery. With normal use it can go beyond 48 hrs.
shahid,APPLE I PHONE 14,"good quality. decent battery. good camera .
of course over priced but u pay for the brand .
quality performance .
no hanging . smooth simple.interface"
Surajit,Superb product,This is one of the finest product I have purchase. Amazon is just superb with their service. I has exchange with my smartphone they in fact not check my phone is their any damage or not simply exchange with my phone without a single question. Love u Amazon. Love u apple.
Kiran thapa,I phone 14 red,Hmm nice .
Satish,Good,No words
Praveengouda P.,Amazing is the only word - shifted from Android to Iphone,"This review is for the people who want to shift from Android to Apple as I did .
I used Xiaomi K20 pro as my last device .
I have been an mi phone for last 10 years and was happy with the value for money offered from the mi and also the camera was top notch for the prices .
Fast forward to 2023 , I brought apple 14 , I always wanted to buy iPhone but due to battery back up and high costs I kept postponing.
And believe me iPhone is not a smart phone to be compared with any android phones , this is in league of its own , so no comparison of orange to apple for sure.

Silky smooth ui, touch screen , camera , sound , display , battery back up : Simply superb.

You may face little difficulties in shifting to iPhone but little patience is all you need and you will love it for sure"
,Nice,Nice
Sujatha,Wonderful phone,"This phone is a gem. Photo clarity is awesome. This is the phone to use for ages given now iPhone has moved to type c port, this is the last generation of lightning charger."
Sumit S Illamalle,Supr,Best All Time IOS
,Cable is not working after 3 months,I bought this in july 16 and now my cable is not working
Virendra kumar,Very nice 👌,Nice mobile phone
Pranabjyoti Dey,Runs like a charm,"At first i was hesitant to buy this or the samsung s23, but this turned out to be a better one, as its performance in very good and the elegant and simplistic design of this is simply fantastic"
shankarnarayan,Average phone,"Delivery experience was very good and i received genuine product.

Phone review:
The phone is nothing extra ordinary. The features of the phone are as par compared to basic mid-range budget phones from andriod.
As far as camera goes the dynamic range of is it very good without any much color correction.
Rest every thing is just average.
You should go for this only if your an apple user fan or you always wanted an iphone."
Sharath,Use an Iphone for a month before planning to buy it over Android.,"It is just a review from my side so that its good for you to know before buying rather than regretting later.

Positives:
* Showoff
* Camera
* Sound
* Security (they say, bt that blocks so many accessibility options for me)
* So many awesome features as all iphone users say (which probably I will use once in a lifetime)

Negatives for me (You may like it):
1. No shortcut to change between vibration and no vibration frequently.
2. No end call button on the lock screen.
3. Call list is nonsense. It shows phone, whatsap and all other calls in same list.
4. Go to a specific contact in call history n you can see only history of one day. Total length of call history is 100. Most probably you will not be able to find call history of previous week for a specific contact.
5. Need of Itunes to copy music from PC to phone.
6. No file manager like android where we can see and access complete folder structure.
7. No silent and vibrate mode notification on screen.
8. Need to buy separate adapter n earphones after already spending double.
9. Cannot remove torch icon in iphone14 from lock screen. You may end up switching it on unwillingly.
10. BT and WiFi shortcuts will just disconnect them. To turn off you need to go to Settings screen and turn it off again.
11. In so many places, either text or files, there is no Select All option. (I'm waiting for android users to get all pics received in whatsapp after a trip).
12. Takes a lot of time to get detected by devices when hotspot is on.
13. At some screen you get stuck and you will miss the back button.
14. Copy some mp3 files to your iphone and you will never be able to find it with default music app.
15. Every app will be either on lot of home screens or organised under some groups. You will never get a clean home screen with 2 or 3 most frequently used apps and all other apps in a swipe up menu like android.
16. No fingerprint sensor.

Adding to the list after using for 2 months:
17. Cannot turn off camera shutter sound in general mode.
18. No option to flag contact as spam/scam.
19. If you connect wireless BT device, it won't show battery percentage of BT device.
20. You get a notification while using phone and you miss to open it, then you will not see it until you remember yourself to open notification screen. Notification icons won't be pinned on top of the screen like Android.
21. If you use 2 SIM and want to switch mobile data between SIMs, there is no shortcut than going to Settings screen. Also, cannot see current amount of data used or left.

List goes on and on, try it yourself.. No iphone owner speaks about limitations. Some people like iphone for these and others hate it for these. If you can pay double and handle these adjustments with work arounds, go ahead. Once you unlock and give your phone to someone, or once you give access permissions to apps, even iphone is not most secure. Fr example, If you are driving and someone wants to use your phone for music/maps etc., then you have to give your password, because there is no fingerprint option and face recogniton feature will become dangerous option."
Sanathan Juturu,Apple Just Wow wow wow!,Awesome phone and Amazon only fulfilled my wish. Thank you for fulfilling my dream.
,Feels like a duplicate product,Not sure how to check authenticity of the product
sanjay,Awesome 😊👌🏻,Awesome phone 😊✌🏻
Shashank Shekhar Ojha,A great phone for minimalist like me.,"I prefer to have some privacy in life, I think apple suite is bit more private than google. It respects user privacy if you are not using third party apps. My options were stock android without google (something like lineageOS) or iPhone. I tried lineageOS but there was always something breaking in my phone. It couldn't become my daily driver; I wish most of the things in android were open source like maps and some other proprietary google apps. In the current state, I was left with choosing iPhone. For long, I had debated with myself about buying iPhone or not, I was using OnePlus 7T for last 3.5 years. The phone stopped getting updates and had many bugs. The software changed a lot, I hated it. All these OEM betraying consumers made me switch to iPhone in the end. I can't trust any other brand to have the consistency like apple has. That's my take in the phone market. I wish there was a consistent bloat free android brand with a great camera."
Sam,🍎 Name is enough,"Just Wow, amazing product"
ROSHAN DHANAI,If you don’t want to wait for iphone 15 then buy it,"Pros:
1. Powerful A15 Bionic chip
2. Beautiful OLED display
3. Excellent camera quality
4. Long-lasting battery life
5. Secure Face ID authentication
6. Up to 5 years of software updates

Cons:
1. Expensive
2. No major design changes from the iPhone 13
3. No headphone jack
4. No expandable storage

Overall, the iPhone 14 is a great phone, but it's not a major upgrade over the iPhone 13. If you're looking for a new iPhone, the iPhone 14 is a good option, but you may want to consider waiting for the iPhone 15, which is expected to have more significant changes."
